#,Name,NameYear,Season,Team,Position,Snaps,Overall,Rush,Cov.,Run,Pen.,# of Pen,QB Sk,QB Ht,QB Hu,Tks,Ass,MT,St,TA,Rec,% Ct,Yds,Avg,YAC,LG,TD,In,PD,NFL Rating
65.0, Corey Graham, Corey Graham2008,2008.0,CHI,CB,730.0,1.6,-0.8,-2.5,4.6,0.3,41334.0,0.0,0.0,0.0,79.0,10.0,7.0,26.0,79.0,56.0,70.9,590.0,10.5,205.0,38.0,2.0,1.0,7.0,95.4
65.0, Johnathan Joseph, Johnathan Joseph2008,2008.0,CIN,CB,474.0,1.6,0.9,-1.9,1.4,1.2,36526.0,0.0,1.0,1.0,38.0,1.0,4.0,13.0,56.0,40.0,71.4,428.0,10.7,98.0,50.0,3.0,1.0,8.0,103.9
65.0, Jordan Babineaux, Jordan Babineaux2008,2008.0,SEA,CB,124.0,1.6,-0.1,0.0,1.1,0.6,36526.0,0.0,0.0,1.0,13.0,1.0,1.0,4.0,14.0,11.0,78.6,109.0,9.9,58.0,29.0,0.0,0.0,1.0,99.1
68.0, Cletis Gordon, Cletis Gordon2008,2008.0,SD,CB,86.0,1.5,0.0,1.6,-0.4,0.3,36526.0,0.0,0.0,0.0,8.0,0.0,0.0,4.0,12.0,6.0,50.0,36.0,6.0,21.0,9.0,0.0,0.0,1.0,56.3
69.0, Dimitri Patterson, Dimitri Patterson2008,2008.0,KC,CB,71.0,1.3,0.3,-0.4,1.0,0.4,0-0,0.0,0.0,1.0,7.0,1.0,0.0,4.0,9.0,7.0,77.8,86.0,12.3,9.0,28.0,1.0,0.0,0.0,143.5
70.0, Marcus Trufant, Marcus Trufant2008,2008.0,SEA,CB,1079.0,1.2,0.0,0.7,0.1,0.4,36647.0,0.0,0.0,0.0,61.0,2.0,5.0,15.0,102.0,65.0,63.7,856.0,13.2,248.0,63.0,8.0,1.0,12.0,112.2
70.0, Antoine Cason, Antoine Cason2008,2008.0,SD,CB,593.0,1.2,-1.1,4.2,-2.0,0.1,36557.0,0.0,0.0,0.0,49.0,5.0,6.0,24.0,89.0,66.0,74.2,538.0,8.2,268.0,30.0,3.0,2.0,7.0,90.9
72.0, Jarrett Bush, Jarrett Bush2008,2008.0,GB,CB,22.0,1.1,0.0,1.0,0.0,0.1,0-0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,50.0,21.0,10.5,9.0,11.0,0.0,0.0,1.0,65.6
73.0, Stanford Routt, Stanford Routt2008,2008.0,OAK,CB,475.0,1.0,-0.2,4.0,-3.0,0.2,41306.0,0.0,0.0,0.0,15.0,2.0,1.0,2.0,33.0,16.0,48.5,210.0,13.1,52.0,28.0,2.0,0.0,5.0,89.2
73.0, Tyrone Poole, Tyrone Poole2008,2008.0,TEN,CB,57.0,1.0,0.0,0.1,0.6,0.3,0-0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,100.0,9.0,4.5,2.0,5.0,0.0,0.0,0.0,85.4
73.0, Patrick Surtain, Patrick Surtain2008,2008.0,KC,CB,192.0,1.0,0.0,2.1,-1.9,0.8,0-0,0.0,0.0,0.0,10.0,0.0,1.0,1.0,16.0,9.0,56.3,147.0,16.3,69.0,51.0,1.0,1.0,2.0,82.0
76.0, Lewis Sanders, Lewis Sanders2008,2008.0,NE,CB,125.0,0.9,0.3,-0.3,0.2,0.7,0-0,0.0,1.0,0.0,12.0,0.0,2.0,4.0,10.0,8.0,80.0,75.0,9.4,41.0,22.0,0.0,0.0,0.0,97.9
