#,Name,NameYear,Year,Team,Position,Snaps,Overall,Rush,Cov.,Run,Pen.,# of Pen,QB Sk,QB Ht,QB Hu,Tks,Ass,MT,St,TA,Rec,% Ct,Yds,Avg,YAC,LG,TD,In,PD,NFL Rating,
17.0,Daryl Smith,Daryl Smith2009,2009.0,JAX,OLB,122.0,1.1,1.5,0.4,-1.2,0.4,0-0,0.0,0.0,7.0,0.0,6.0,1.0,1.0,4.0,4.0,1.0,25.0,3.0,3.0,2.0,3.0,0.0,1.0,0.0,0.0
18.0,Adalius Thomas,Adalius Thomas2009,2009.0,NE,OLB,263.0,0.9,0.0,0.1,-0.2,1.0,0-0,2.0,2.0,1.0,1.0,8.0,4.0,2.0,6.0,2.0,2.0,100.0,13.0,6.5,8.0,12.0,0.0,0.0,0.0,93.8
18.0,Brian Iwuh,Brian Iwuh2009,2009.0,JAX,OLB,10.0,0.9,0.0,0.0,0.9,0.0,0-0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,Pierre Woods,Pierre Woods2009,2009.0,NE,OLB,106.0,0.7,-0.6,-0.4,1.3,0.4,0-0,0.0,0.0,2.0,0.0,5.0,2.0,0.0,3.0,1.0,1.0,100.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,87.5
20.0,Charlie Anderson,Charlie Anderson2009,2009.0,MIA,OLB,150.0,0.7,0.3,1.1,-0.2,-0.5,36526.0,1.0,0.0,6.0,1.0,6.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,Mario Haggan,Mario Haggan2009,2009.0,DEN,OLB,622.0,0.5,-2.9,-2.7,4.8,1.3,36526.0,1.0,3.0,7.0,0.0,38.0,4.0,3.0,25.0,17.0,12.0,70.6,112.0,9.3,68.0,31.0,0.0,0.0,1.0,88.4
23.0,Jeremy Thompson,Jeremy Thompson2009,2009.0,GB,OLB,25.0,0.4,-0.6,1.0,0.0,0.0,0-0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.6
24.0,Alex Hall,Alex Hall2009,2009.0,CLV,OLB,45.0,0.3,0.4,0.0,-0.2,0.1,0-0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,100.0,13.0,13.0,17.0,13.0,0.0,0.0,0.0,118.8
24.0,Rob Ninkovich,Rob Ninkovich2009,2009.0,NE,OLB,103.0,0.3,-1.9,0.0,1.7,0.5,0-0,0.0,0.0,5.0,1.0,3.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,Mike Vrabel,Mike Vrabel2009,2009.0,KC,OLB,931.0,0.2,-3.1,0.4,-0.3,3.2,0-0,2.0,3.0,18.0,3.0,45.0,5.0,4.0,31.0,24.0,17.0,70.8,127.0,7.5,99.0,18.0,1.0,0.0,3.0,97.0
26.0,Scott Fujita,Scott Fujita2009,2009.0,NO,OLB,64.0,0.2,-1.1,1.3,-0.2,0.2,0-0,0.0,0.0,1.0,0.0,5.0,2.0,1.0,2.0,7.0,6.0,85.7,48.0,8.0,24.0,18.0,0.0,0.0,0.0,95.2
28.0,Reggie Walker,Reggie Walker2009,2009.0,ARZ,OLB,2.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,Matt Roth,Matt Roth2009,2009.0,MIA,OLB,60.0,0.0,-0.6,-0.9,1.1,0.4,0-0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,100.0,9.0,4.5,4.0,5.0,0.0,0.0,0.0,85.4
30.0,Russell Allen,Russell Allen2009,2009.0,JAX,OLB,1.0,-0.1,-0.1,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,Elvis Dumervil,Elvis Dumervil2009,2009.0,DEN,OLB,880.0,-0.2,14.6,0.2,-13.2,-1.8,41395.0,17.0,7.0,31.0,3.0,23.0,6.0,0.0,31.0,7.0,5.0,71.4,72.0,14.4,75.0,28.0,0.0,0.0,0.0,104.5
31.0,Clark Haggans,Clark Haggans2009,2009.0,ARZ,OLB,865.0,-0.2,-2.3,-3.7,4.6,1.2,36557.0,6.0,8.0,23.0,1.0,51.0,4.0,8.0,41.0,17.0,11.0,64.7,91.0,8.3,81.0,28.0,1.0,0.0,0.0,97.9
33.0,Andre Frazier,Andre Frazier2009,2009.0,PIT,OLB,3.0,-0.3,-0.3,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,Cyril Obiozor,Cyril Obiozor2009,2009.0,GB,OLB,13.0,-0.4,-0.4,0.0,0.0,0.0,0-0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,Diyral Briggs,Diyral Briggs2009,2009.0,SF,OLB,4.0,-0.4,-0.4,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,Marques Harris,Marques Harris2009,2009.0,SF,OLB,36.0,-0.5,0.2,-0.5,-0.2,0.0,0-0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,13.0,13.0,2.0,13.0,0.0,0.0,0.0,118.8
36.0,Brandon Chillar,Brandon Chillar2009,2009.0,GB,OLB,11.0,-0.5,-0.5,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,Edgar Jones,Edgar Jones2009,2009.0,BLT,OLB,3.0,-0.6,-0.1,0.0,-0.5,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.0,James Holt,James Holt2009,2009.0,SD,OLB,15.0,-0.9,-0.9,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.6
40.0,Ali Highsmith,Ali Highsmith2009,2009.0,ARZ,OLB,1.0,-1.0,0.0,-1.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,25.0,25.0,22.0,25.0,1.0,0.0,0.0,158.3
40.0,Bobby McCray,Bobby McCray2009,2009.0,NO,OLB,17.0,-1.0,-0.5,0.5,-1.1,0.1,0-0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.0,Derrick Harvey,Derrick Harvey2009,2009.0,JAX,OLB,337.0,-1.2,-8.5,2.0,4.1,1.2,0-0,0.0,3.0,6.0,0.0,18.0,1.0,0.0,14.0,2.0,2.0,100.0,15.0,7.5,11.0,8.0,0.0,0.0,1.0,97.9
43.0,Will Davis,Will Davis2009,2009.0,ARZ,OLB,105.0,-1.3,-1.9,0.1,0.1,0.4,0-0,2.0,0.0,3.0,0.0,6.0,0.0,0.0,6.0,1.0,1.0,100.0,5.0,5.0,6.0,5.0,0.0,0.0,0.0,87.5
44.0,Jarvis Moss,Jarvis Moss2009,2009.0,DEN,OLB,8.0,-1.4,-0.4,0.0,0.0,-1.0,36526.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.6
45.0,Steve Octavien,Steve Octavien2009,2009.0,DAL,OLB,15.0,-1.5,-1.0,0.0,-0.5,0.0,0-0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.0,Bobby Carpenter,Bobby Carpenter2009,2009.0,DAL,OLB,33.0,-1.5,-0.5,-0.7,-0.5,0.2,0-0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,4.0,4.0,100.0,36.0,9.0,29.0,12.0,0.0,0.0,0.0,104.2
47.0,Bryan Smith,Bryan Smith2009,2009.0,JAX,OLB,35.0,-1.6,-2.1,0.0,0.4,0.1,0-0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48.0,Pierre Walters,Pierre Walters2009,2009.0,KC,OLB,43.0,-1.8,-1.8,0.0,-0.2,0.2,0-0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48.0,Jyles Tucker,Jyles Tucker2009,2009.0,SD,OLB,42.0,-1.8,-1.0,0.0,-0.8,0.0,0-0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48.0,Robert Ayers,Robert Ayers2009,2009.0,DEN,OLB,426.0,-1.8,-6.3,1.3,2.6,0.6,36526.0,0.0,5.0,17.0,1.0,19.0,0.0,2.0,12.0,9.0,6.0,66.7,48.0,8.0,46.0,12.0,0.0,0.0,0.0,79.9
51.0,Brad Jones,Brad Jones2009,2009.0,GB,OLB,353.0,-2.6,-4.8,-1.8,2.8,1.2,0-0,4.0,5.0,9.0,0.0,15.0,3.0,3.0,12.0,6.0,6.0,100.0,52.0,8.7,29.0,16.0,0.0,0.0,0.0,102.8
51.0,Julius Williams,Julius Williams2009,2009.0,JAX,OLB,47.0,-2.6,-1.6,0.1,-1.2,0.1,0-0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53.0,Shaun Phillips,Shaun Phillips2009,2009.0,SD,OLB,848.0,-3.5,0.2,3.8,-4.4,-3.1,36678.0,7.0,9.0,17.0,4.0,43.0,5.0,3.0,31.0,10.0,5.0,50.0,32.0,6.4,30.0,14.0,2.0,0.0,0.0,96.7
54.0,Quentin Groves,Quentin Groves2009,2009.0,JAX,OLB,173.0,-4.4,-3.2,-0.6,-1.2,0.6,0-0,0.0,0.0,3.0,0.0,8.0,2.0,0.0,7.0,5.0,5.0,100.0,47.0,9.4,30.0,19.0,0.0,0.0,0.0,105.8
55.0,Clint Ingram,Clint Ingram2009,2009.0,JAX,OLB,304.0,-4.9,-1.4,-1.5,-1.1,-0.9,41306.0,1.0,2.0,4.0,0.0,21.0,2.0,5.0,13.0,10.0,8.0,80.0,32.0,4.0,39.0,9.0,0.0,0.0,0.0,80.0
56.0,Jason Trusnik,Jason Trusnik2009,2009.0,CLV,OLB,267.0,-5.3,-3.8,-1.9,-0.5,0.9,36526.0,2.0,2.0,1.0,0.0,17.0,3.0,2.0,15.0,9.0,9.0,100.0,59.0,6.6,41.0,12.0,1.0,0.0,0.0,131.0
57.0,David Bowens,David Bowens2009,2009.0,CLV,OLB,416.0,-5.8,-3.5,-0.9,-1.9,0.5,36526.0,1.0,6.0,2.0,0.0,18.0,7.0,2.0,10.0,12.0,11.0,91.7,85.0,7.7,63.0,16.0,1.0,0.0,1.0,124.0
58.0,Victor Butler,Victor Butler2009,2009.0,DAL,OLB,94.0,-6.0,-4.6,0.1,-1.7,0.2,0-0,1.0,0.0,1.0,0.0,4.0,0.0,1.0,3.0,2.0,1.0,50.0,1.0,1.0,6.0,1.0,0.0,0.0,0.0,56.3
59.0,Derrick Burgess,Derrick Burgess2009,2009.0,NE,OLB,148.0,-6.7,-3.6,-0.5,-3.2,0.6,0-0,1.0,2.0,4.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,Brady Poppinga,Brady Poppinga2009,2009.0,GB,OLB,266.0,-10.3,-7.0,0.5,-2.8,-1.0,41306.0,1.0,0.0,2.0,0.0,7.0,2.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.6
61.0,Joey Porter,Joey Porter2009,2009.0,MIA,OLB,755.0,-13.2,-12.9,1.2,-1.2,-0.3,41334.0,9.0,5.0,11.0,0.0,26.0,3.0,1.0,26.0,3.0,2.0,66.7,16.0,8.0,20.0,18.0,0.0,0.0,0.0,79.9
62.0,Shawne Merriman,Shawne Merriman2009,2009.0,SD,OLB,614.0,-15.8,-8.8,-1.0,-3.2,-2.8,41395.0,4.0,4.0,13.0,0.0,24.0,6.0,3.0,15.0,5.0,4.0,80.0,33.0,8.3,25.0,11.0,0.0,0.0,0.0,94.2
63.0,Parys Haralson,Parys Haralson2009,2009.0,SF,OLB,986.0,-16.2,-6.1,-0.8,-5.8,-3.5,41459.0,6.0,10.0,27.0,1.0,32.0,4.0,5.0,30.0,14.0,11.0,78.6,143.0,13.0,120.0,31.0,0.0,0.0,2.0,109.2
64.0,Chike Okeafor,Chike Okeafor2009,2009.0,ARZ,OLB,699.0,-16.3,-9.2,0.6,-8.7,1.0,41306.0,4.0,2.0,15.0,1.0,32.0,3.0,4.0,19.0,14.0,12.0,85.7,105.0,8.8,84.0,22.0,0.0,0.0,0.0,97.9
65.0,Kamerion Wimbley,Kamerion Wimbley2009,2009.0,CLV,OLB,1021.0,-16.7,-5.0,-2.4,-9.9,0.6,41334.0,7.0,8.0,24.0,0.0,46.0,11.0,3.0,30.0,24.0,18.0,75.0,190.0,10.6,157.0,45.0,3.0,0.0,1.0,137.2
66.0,Bertrand Berry,Bertrand Berry2009,2009.0,ARZ,OLB,483.0,-20.0,-12.9,0.6,-7.4,-0.3,36557.0,5.0,0.0,18.0,0.0,2.0,2.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.6
67.0,Larry English,Larry English2009,2009.0,SD,OLB,547.0,-23.5,-8.7,-2.6,-10.2,-2.0,41366.0,2.0,9.0,14.0,1.0,19.0,4.0,1.0,9.0,5.0,4.0,80.0,45.0,11.3,19.0,18.0,0.0,0.0,0.0,104.2
1.0,James Harrison,James Harrison2008,2008.0,PIT,OLB,940.0,29.2,20.4,3.6,4.1,1.1,36586.0,17.0,8.0,32.0,2.0,50.0,9.0,4.0,46.0,18.0,15.0,83.3,145.0,9.7,96.0,22.0,1.0,1.0,0.0,95.6
2.0,DeMarcus Ware,DeMarcus Ware2008,2008.0,DAL,OLB,1021.0,20.6,-2.1,5.6,20.5,-3.4,41457.0,20.0,12.0,21.0,1.0,53.0,4.0,3.0,63.0,12.0,9.0,75.0,70.0,7.8,39.0,25.0,0.0,0.0,2.0,88.9
3.0,Matt Roth,Matt Roth2008,2008.0,MIA,OLB,630.0,13.2,0.5,0.4,11.9,0.4,41306.0,5.0,4.0,18.0,1.0,38.0,6.0,4.0,27.0,10.0,7.0,70.0,59.0,8.4,68.0,16.0,0.0,0.0,1.0,85.0
4.0,Willie McGinest,Willie McGinest2008,2008.0,CLV,OLB,775.0,8.2,5.7,-0.7,2.6,0.6,41306.0,1.0,10.0,17.0,0.0,45.0,11.0,4.0,33.0,16.0,14.0,87.5,94.0,6.7,68.0,22.0,0.0,0.0,1.0,91.1
5.0,Anthony Spencer,Anthony Spencer2008,2008.0,DAL,OLB,368.0,5.5,1.4,-2.4,6.2,0.3,36526.0,2.0,2.0,9.0,0.0,21.0,4.0,3.0,16.0,10.0,5.0,50.0,54.0,10.8,42.0,21.0,0.0,0.0,0.0,66.3
6.0,Rosevelt Colvin,Rosevelt Colvin2008,2008.0,NE,OLB,166.0,4.0,1.8,-1.0,2.6,0.6,0-0,0.0,1.0,5.0,0.0,6.0,0.0,1.0,3.0,3.0,3.0,100.0,27.0,9.0,16.0,13.0,0.0,0.0,0.0,104.2
6.0,Lamarr Woodley,Lamarr Woodley2008,2008.0,PIT,OLB,934.0,4.0,-1.8,3.7,3.5,-1.4,41396.0,11.0,9.0,19.0,0.0,33.0,10.0,4.0,31.0,16.0,11.0,68.8,94.0,8.5,54.0,24.0,0.0,1.0,1.0,57.8
8.0,Bryan Thomas,Bryan Thomas2008,2008.0,NYJ,OLB,674.0,3.9,-2.4,-1.3,6.1,1.5,36526.0,5.0,2.0,16.0,0.0,36.0,6.0,4.0,26.0,22.0,19.0,86.4,168.0,8.8,108.0,25.0,1.0,0.0,0.0,113.6
9.0,Pierre Woods,Pierre Woods2008,2008.0,NE,OLB,240.0,3.3,-4.1,-0.7,7.4,0.7,0-0,1.0,2.0,1.0,0.0,20.0,2.0,4.0,12.0,9.0,7.0,77.8,41.0,5.9,31.0,14.0,1.0,0.0,1.0,122.7
10.0,Quentin Moses,Quentin Moses2008,2008.0,MIA,OLB,21.0,2.1,1.5,0.0,0.5,0.1,0-0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,Clark Haggans,Clark Haggans2008,2008.0,ARZ,OLB,262.0,1.4,-2.4,2.0,1.8,0.0,36526.0,2.0,2.0,6.0,0.0,14.0,1.0,2.0,10.0,11.0,7.0,63.6,53.0,7.6,23.0,22.0,0.0,0.0,2.0,75.2
12.0,Lawrence Timmons,Lawrence Timmons2008,2008.0,PIT,OLB,113.0,0.9,0.0,0.1,1.4,-0.6,41275.0,0.0,2.0,0.0,0.0,8.0,4.0,1.0,5.0,2.0,1.0,50.0,8.0,8.0,0.0,8.0,0.0,0.0,0.0,60.4
13.0,Manny Lawson,Manny Lawson2008,2008.0,SF,OLB,304.0,0.6,-0.7,-0.8,1.1,1.0,0-0,2.0,1.0,4.0,1.0,23.0,5.0,2.0,15.0,13.0,8.0,61.5,71.0,8.9,30.0,15.0,0.0,0.0,1.0,76.1
14.0,Brandon Siler,Brandon Siler2008,2008.0,SD,OLB,3.0,0.5,0.0,0.0,0.5,0.0,0-0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,Shawne Merriman,Shawne Merriman2008,2008.0,SD,OLB,59.0,0.4,-1.1,0.1,1.2,0.2,0-0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,Sam Williams,Sam Williams2008,2008.0,OAK,OLB,5.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,Antwan Applewhite,Antwan Applewhite2008,2008.0,SD,OLB,174.0,0.0,-0.9,-0.5,1.7,-0.3,36526.0,0.0,5.0,4.0,0.0,9.0,1.0,2.0,7.0,2.0,2.0,100.0,27.0,13.5,35.0,17.0,0.0,0.0,0.0,118.8
16.0,Brian Iwuh,Brian Iwuh2008,2008.0,JAX,OLB,1.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,Tim Dobbins,Tim Dobbins2008,2008.0,SD,OLB,1.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.6
16.0,Shantee Orr,Shantee Orr2008,2008.0,CLV,OLB,30.0,0.0,1.0,-0.5,-0.5,0.0,0-0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,3.0,1.0,1.0,100.0,16.0,16.0,5.0,16.0,0.0,0.0,0.0,118.8
21.0,Erik Walden,Erik Walden2008,2008.0,MIA,OLB,1.0,-0.1,-0.1,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,Monty Beisel,Monty Beisel2008,2008.0,ARZ,OLB,21.0,-0.1,0.0,0.0,-0.2,0.1,0-0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,Leon Williams,Leon Williams2008,2008.0,CLV,OLB,6.0,-0.1,-0.1,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,Anthony Waters,Anthony Waters2008,2008.0,SD,OLB,6.0,-0.3,-0.3,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,Adalius Thomas,Adalius Thomas2008,2008.0,NE,OLB,472.0,-0.3,-1.1,-0.6,-0.3,1.7,0-0,6.0,2.0,4.0,3.0,21.0,6.0,3.0,19.0,17.0,11.0,64.7,102.0,9.3,86.0,28.0,0.0,0.0,1.0,81.0
26.0,Donovan Woods,Donovan Woods2008,2008.0,PIT,OLB,9.0,-0.4,-0.4,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,Patrick Bailey,Patrick Bailey2008,2008.0,PIT,OLB,9.0,-0.5,0.0,0.0,-0.5,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.6
28.0,Vince Redd,Vince Redd2008,2008.0,NE,OLB,36.0,-0.6,-0.8,0.1,-0.1,0.2,0-0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,15.0,15.0,2.0,15.0,0.0,0.0,0.0,118.8
29.0,David Bowens,David Bowens2008,2008.0,NYJ,OLB,67.0,-0.8,-2.3,0.8,0.4,0.3,0-0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,50.0,8.0,8.0,12.0,8.0,0.0,1.0,0.0,20.8
30.0,Victor Hobson,Victor Hobson2008,2008.0,ARZ,OLB,9.0,-1.1,-0.2,-0.4,-0.5,0.0,0-0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,50.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,58.3
30.0,Andre Frazier,Andre Frazier2008,2008.0,PIT,OLB,50.0,-1.1,-1.0,0.0,-0.2,0.1,0-0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.6
30.0,Vinny Ciurciu,Vinny Ciurciu2008,2008.0,MIN,OLB,11.0,-1.1,0.0,0.0,-0.1,-1.0,36526.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,Bertrand Berry,Bertrand Berry2008,2008.0,ARZ,OLB,373.0,-4.0,1.6,0.5,-6.5,0.4,36526.0,2.0,4.0,17.0,3.0,11.0,5.0,0.0,8.0,1.0,1.0,100.0,11.0,11.0,9.0,11.0,0.0,0.0,0.0,112.5
34.0,Tully Banta-Cain,Tully Banta-Cain2008,2008.0,SF,OLB,77.0,-4.1,-2.5,-0.5,-1.3,0.2,0-0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,3.0,2.0,66.7,23.0,11.5,19.0,14.0,0.0,0.0,1.0,89.6
35.0,Gary Guyton,Gary Guyton2008,2008.0,NE,OLB,77.0,-4.5,-0.7,-0.7,-3.4,0.3,0-0,0.0,0.0,1.0,0.0,6.0,1.0,2.0,4.0,6.0,4.0,66.7,23.0,5.8,24.0,10.0,0.0,0.0,1.0,73.6
36.0,Mike Vrabel,Mike Vrabel2008,2008.0,NE,OLB,869.0,-4.7,-4.6,0.4,1.8,-2.3,41428.0,4.0,11.0,18.0,1.0,26.0,10.0,4.0,22.0,19.0,12.0,63.2,120.0,10.0,93.0,36.0,0.0,1.0,2.0,59.1
37.0,Marques Harris,Marques Harris2008,2008.0,SD,OLB,359.0,-6.5,-3.1,1.2,-3.9,-0.7,36557.0,3.0,3.0,13.0,0.0,14.0,1.0,0.0,12.0,4.0,2.0,50.0,16.0,8.0,12.0,11.0,0.0,0.0,0.0,60.4
38.0,Calvin Pace,Calvin Pace2008,2008.0,NYJ,OLB,1033.0,-6.8,-2.2,-2.1,-1.7,-0.8,41395.0,7.0,4.0,25.0,2.0,57.0,7.0,3.0,38.0,36.0,33.0,91.7,308.0,9.3,203.0,25.0,1.0,0.0,1.0,111.6
39.0,Alex Hall,Alex Hall2008,2008.0,CLV,OLB,276.0,-7.9,-0.6,-1.1,-6.1,-0.1,36526.0,3.0,4.0,8.0,0.0,15.0,0.0,2.0,10.0,7.0,5.0,71.4,36.0,7.2,21.0,11.0,0.0,0.0,0.0,83.0
40.0,Charlie Anderson,Charlie Anderson2008,2008.0,MIA,OLB,123.0,-8.3,-5.5,-0.9,-1.3,-0.6,36526.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,100.0,23.0,23.0,30.0,23.0,0.0,0.0,0.0,118.8
41.0,Vernon Gholston,Vernon Gholston2008,2008.0,NYJ,OLB,167.0,-8.8,-6.8,-0.9,-1.3,0.2,0-0,0.0,1.0,6.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,100.0,12.0,6.0,11.0,7.0,0.0,0.0,0.0,91.7
42.0,Parys Haralson,Parys Haralson2008,2008.0,SF,OLB,520.0,-10.0,-6.0,-1.0,-2.4,-0.6,41335.0,5.0,1.0,15.0,0.0,18.0,0.0,1.0,15.0,6.0,4.0,66.7,28.0,7.0,19.0,17.0,1.0,0.0,0.0,116.7
43.0,Jyles Tucker,Jyles Tucker2008,2008.0,SD,OLB,542.0,-11.4,-7.0,-1.9,-3.6,1.1,36526.0,6.0,2.0,17.0,1.0,23.0,5.0,2.0,19.0,8.0,7.0,87.5,36.0,5.1,25.0,11.0,0.0,0.0,0.0,85.4
44.0,Greg Ellis,Greg Ellis2008,2008.0,DAL,OLB,688.0,-11.9,2.4,-1.1,-9.6,-3.6,41427.0,9.0,9.0,25.0,0.0,19.0,1.0,3.0,16.0,8.0,6.0,75.0,46.0,7.7,52.0,14.0,0.0,1.0,0.0,49.0
45.0,Chike Okeafor,Chike Okeafor2008,2008.0,ARZ,OLB,861.0,-12.0,-4.9,-6.1,-1.7,0.7,41334.0,5.0,7.0,19.0,1.0,45.0,4.0,8.0,31.0,25.0,21.0,84.0,207.0,9.9,177.0,28.0,1.0,1.0,1.0,97.8
46.0,Shaun Phillips,Shaun Phillips2008,2008.0,SD,OLB,1053.0,-15.0,-5.1,1.8,-10.4,-1.3,41396.0,12.0,6.0,32.0,1.0,46.0,8.0,3.0,35.0,17.0,14.0,82.4,129.0,9.2,80.0,24.0,0.0,0.0,2.0,98.3
