#,Name,NameYear,Year,Team,Position,Snaps,Overall,Rush,Cov.,Run,Pen.,# of Pen,QB Sk,QB Ht,QB Hu,Tks,Ass,MT,St,TA,Rec,% Ct,Yds,Avg,YAC,LG,TD,In,PD,NFL Rating,
45.0,Keenan Clayton,Keenan Clayton2011,2011.0,PHI,ILB,4.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
45.0,Prescott Burgess,Prescott Burgess2011,2011.0,BLT,ILB,1.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
45.0,Mario Haggan,Mario Haggan2011,2011.0,DEN,ILB,42.0,0.0,-0.2,0.2,-0.1,0.1,0-0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
45.0,A.J. Edds,A.J. Edds2011,2011.0,NE,ILB,10.0,0.0,-0.1,0.1,0.0,0.0,0-0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,100.0,5.0,5.0,3.0,5.0,0.0,0.0,0.0,87.5,
45.0,Tim Shaw,Tim Shaw2011,2011.0,TEN,ILB,2.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
55.0,Akeem Dent,Akeem Dent2011,2011.0,ATL,ILB,10.0,-0.1,-0.2,0.1,0.0,0.0,0-0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,8.0,8.0,3.0,8.0,0.0,0.0,0.0,100.0,
55.0,Andy Studebaker,Andy Studebaker2011,2011.0,KC,ILB,3.0,-0.1,-0.1,0.0,0.0,0.0,0-0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
57.0,Dan Skuta,Dan Skuta2011,2011.0,CIN,ILB,135.0,-0.2,1.8,-2.7,0.6,0.1,0-0,0.0,0.0,3.0,12.0,1.0,0.0,6.0,6.0,6.0,100.0,80.0,13.3,43.0,25.0,1.0,0.0,0.0,158.3,
58.0,Darryl Blackstock,Darryl Blackstock2011,2011.0,OAK,ILB,114.0,-0.3,-0.2,1.6,-1.9,0.2,0-0,0.0,0.0,1.0,9.0,3.0,0.0,6.0,4.0,3.0,75.0,10.0,3.3,18.0,6.0,0.0,0.0,0.0,77.1,
59.0,Brendon Ayanbadejo,Brendon Ayanbadejo2011,2011.0,BLT,ILB,23.0,-0.4,-0.6,0.2,0.0,0.0,0-0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,5.0,5.0,100.0,28.0,5.6,30.0,12.0,0.0,0.0,0.0,90.0,
