#,Name,NameYear,Year,Team,Position,Snaps,Overall,Rush,Cov.,Run,Pen.,# of Pen,QB Sk,QB Ht,QB Hu,BP,Tks,Ass,MT,St
12.0,Haloti Ngata,Haloti Ngata2008,2008,BLT,DT,666.0,12.4,1.5,4.0,5.7,1.2,36557.0,1.0,9.0,11.0,2.0,43.0,7.0,3.0,32.0
13.0,Fred Evans,Fred Evans2008,2008,MIN,DT,223.0,11.2,4.4,1.0,9.2,-3.4,36617.0,0.0,0.0,11.0,0.0,8.0,7.0,1.0,7.0
14.0,Rocky Bernard,Rocky Bernard2008,2008,SEA,DT,659.0,10.6,5.1,2.0,1.8,1.7,36526.0,4.0,8.0,11.0,1.0,35.0,12.0,2.0,24.0
15.0,Ma'ake Kemoeatu,Ma'ake Kemoeatu2008,2008,CAR,DT,478.0,10.5,2.0,0.5,8.2,-0.2,36557.0,0.0,1.0,9.0,2.0,31.0,3.0,2.0,18.0
16.0,Cornelius Griffin,Cornelius Griffin2008,2008,WAS,DT,557.0,8.9,4.5,1.0,2.3,1.1,36526.0,1.0,4.0,13.0,1.0,17.0,5.0,2.0,16.0
17.0,Sedrick Ellis,Sedrick Ellis2008,2008,NO,DT,712.0,8.3,19.2,0.5,-13.0,1.6,36526.0,4.0,5.0,28.0,4.0,18.0,8.0,2.0,14.0
18.0,Deljuan Robinson,Deljuan Robinson2008,2008,HST,DT,283.0,8.2,0.5,0.5,6.9,0.3,41275.0,0.0,0.0,6.0,0.0,20.0,4.0,0.0,17.0
19.0,Grady Jackson,Grady Jackson2008,2008,ATL,DT,408.0,7.2,-3.0,0.0,8.7,1.5,0-0,2.0,0.0,4.0,2.0,24.0,3.0,0.0,21.0
20.0,Mike Wright,Mike Wright2008,2008,NE,DT,263.0,6.9,5.9,0.5,-0.6,1.1,0-0,3.0,4.0,10.0,0.0,8.0,1.0,0.0,9.0
21.0,Jimmy Wilkerson,Jimmy Wilkerson2008,2008,TB,DT,164.0,6.7,10.1,0.0,-3.0,-0.4,41275.0,3.0,1.0,10.0,0.0,2.0,0.0,0.0,4.0
22.0,Sione Pouha,Sione Pouha2008,2008,NYJ,DT,220.0,6.3,-1.2,1.0,5.6,0.9,0-0,0.0,0.0,3.0,1.0,17.0,3.0,0.0,14.0
23.0,Kevin Vickerson,Kevin Vickerson2008,2008,TEN,DT,176.0,6.1,2.3,0.0,4.0,-0.2,36526.0,2.0,2.0,3.0,1.0,7.0,4.0,1.0,7.0
24.0,Lorenzo Alexander,Lorenzo Alexander2008,2008,WAS,DT,302.0,6.0,4.5,0.0,0.3,1.2,0-0,2.0,3.0,8.0,2.0,9.0,3.0,0.0,11.0
24.0,Aubrayo Franklin,Aubrayo Franklin2008,2008,SF,DT,577.0,6.0,-5.3,0.0,10.9,0.4,36557.0,1.0,3.0,3.0,2.0,42.0,7.0,3.0,32.0
