#,Name,NameYear,Year,Team,Position,Snaps,Overall,Pass,Run,Blocking,Penalty,# of Pen,Att.,Yds,Avg.,YCo,YCo / Att.,LG,TD,MT,Fu
136,Jahvid Best,Jahvid Best2010,2010,DET,HB,572,-11.4,-2.6,-8.1,-1.3,0.6,0-0,171,559,3.3,303,1.8,45,4,8,1
137,Tim Hightower,Tim Hightower2010,2010,ARZ,HB,597,-12.2,-8,-2.5,-1.9,0.2,0-0,153,758,5,448,2.9,80,5,15,3
138,Steven Jackson,Steven Jackson2010,2010,SL,HB,908,-12.3,-1.9,-8.5,-2,0.1,1-Jan,330,1241,3.8,874,2.6,42,6,23,1
1,Ray Rice,Ray Rice2009,2009,BLT,HB,810,16.2,12.2,1.2,3.4,-0.6,Feb-00,254,1338,5.3,719,2.8,59,7,33,2
2,Maurice Jones-Drew,Maurice Jones-Drew2009,2009,JAX,HB,872,13,4.1,2.4,6.6,-0.1,Jan-00,312,1391,4.5,930,3,80,15,45,2
3,Jamaal Charles,Jamaal Charles2009,2009,KC,HB,634,10.3,-2.3,12.9,-0.9,0.6,0-0,190,1120,5.9,687,3.6,76,7,28,2
4,Pierre Thomas,Pierre Thomas2009,2009,NO,HB,380,9.2,5.4,7.2,-2.4,-1,Jan-00,147,793,5.4,445,3,34,6,19,1
5,Chris D. Johnson,Chris D. Johnson2009,2009,TEN,HB,898,6.4,1,8.8,-2.5,-0.9,Feb-00,358,2037,5.7,1071,3,91,14,44,3
6,Justin Forsett,Justin Forsett2009,2009,SEA,HB,473,5.5,1.5,2.7,1.2,0.1,0-0,114,623,5.5,364,3.2,35,4,23,1
7,Felix Jones,Felix Jones2009,2009,DAL,HB,271,3.7,1.4,1.9,1.4,-1,Jan-00,116,685,5.9,387,3.3,56,3,15,2
7,Jonathan Stewart,Jonathan Stewart2009,2009,CAR,HB,439,3.7,0.4,6.5,-3.3,0.1,0-0,221,1133,5.1,740,3.3,67,10,44,3
9,Jason Wright,Jason Wright2009,2009,ARZ,HB,82,3.3,0.6,0.4,2.3,0,0-0,3,17,5.7,9,3,8,0,0,0
9,Willis McGahee,Willis McGahee2009,2009,BLT,HB,217,3.3,1.7,2.2,-0.1,-0.5,Jan-00,109,544,5,285,2.6,77,12,11,1
11,Brian Leonard,Brian Leonard2009,2009,CIN,HB,280,3,2.9,-1.1,1.2,0,0-0,26,79,3,63,2.4,11,0,4,0
12,Fred Jackson,Fred Jackson2009,2009,BUF,HB,696,2.8,6.1,4.1,-6.9,-0.5,Jan-00,238,1067,4.5,708,3,43,2,38,2
13,Jason Snelling,Jason Snelling2009,2009,ATL,HB,418,2.7,0.9,0,1.6,0.2,0-0,134,571,4.3,422,3.1,31,4,21,1
14,Reggie Bush,Reggie Bush2009,2009,NO,HB,400,2.6,5.4,-2.6,-0.2,0,0-0,70,396,5.7,146,2.1,55,5,5,2
15,Bernard Scott,Bernard Scott2009,2009,CIN,HB,132,2.5,1.3,0.6,0.6,0,0-0,74,325,4.4,251,3.4,61,0,10,1
16,Ladell Betts,Ladell Betts2009,2009,WAS,HB,229,2.3,2.6,-1.2,0.9,0,0-0,56,210,3.8,133,2.4,18,2,1,0
16,Brandon Jackson,Brandon Jackson2009,2009,GB,HB,257,2.3,2,-4,4.3,0,0-0,37,112,3,70,1.9,9,2,0,1
16,Sammy Morris,Sammy Morris2009,2009,NE,HB,141,2.3,1,-0.3,1.6,0,0-0,52,234,4.5,180,3.5,55,1,7,1
19,Ryan Moats,Ryan Moats2009,2009,HST,HB,198,2.2,2.7,-1.2,0.7,0,0-0,101,390,3.9,260,2.6,17,4,5,2
20,Darren Sproles,Darren Sproles2009,2009,SD,HB,393,2.1,6.3,-4.8,1.4,-0.8,2-Feb,93,343,3.7,193,2.1,21,3,6,0
21,Tim Castille,Tim Castille2009,2009,KC,HB,27,2,-0.2,0.4,1.8,0,0-0,3,26,8.7,17,5.7,16,0,1,0
