Row,Name,NameYear,Team,Year,Snaps,Overall Grade,Pass Grade,Run Grade,Blocking Grade,Penalty Grade,Routes Run,Targets,Receptions,Catch%,Yards,Yards/Route,Yards / Reception,Yards After Catch,Yards After Catch / Reception,Long,Touchdowns,Interceptions,Dropped Passes,Missed Tackles Forced,Fumbles,WR Rating,Deep Targets,Deep Receptions,Deep Drops,Deep Yards,Deep Catchable,Deep TDs,Deep Target %,Deep Drop Rate,Deep Catch Rate,Slot Routes,Slot %,Slot Targets,Slot Target %,Slot Receptions,Slot Drops,Slot Yards,Slot YPRR,Slot TDs,Slot Drop Rate,Slot Catch Rate
1, Andre Johnson, Andre Johnson2012,HST,2012,996,31.3,29,0,1.4,0.9,531,159,112,70.4,1598,3.01,14.3,559,5,60,4,5,9,11,0,97.9,25,8,5,335,13,1,15.7,38.46,32,111,20.9,26,23.4,21,1,298,2.68,0,4.55,80.8
2, Demaryius Thomas, Demaryius Thomas2012,DEN,2012,1046,27.2,19.3,0,4.8,3.1,571,138,94,68.1,1436,2.5,15.3,561,6,71,10,0,11,13,3,126.2,30,16,1,498,17,5,21.7,5.88,53.3,44,7.7,12,27.3,6,0,65,1.48,1,0,50
3, Reggie Wayne, Reggie Wayne2012,IND,2012,1099,26.5,17.6,-0.2,5.9,3.2,689,179,106,59.2,1355,1.97,12.8,379,3.6,33,5,10,10,5,1,69,32,15,1,390,16,1,17.9,6.25,46.9,422,61.2,90,21.3,48,6,679,1.61,2,11.11,53.3
4, Calvin Johnson, Calvin Johnson2012,DET,2012,1181,26.3,26.1,0,1.4,-1.2,771,199,122,61.3,1964,2.55,16.1,514,4.2,53,5,5,14,12,3,92.2,46,21,2,652,23,3,23.1,8.7,45.7,223,28.9,67,30,41,7,702,3.15,1,14.58,61.2
5, Vincent Jackson, Vincent Jackson2012,TB,2012,1004,24.4,22.6,0.5,1,0.3,591,137,72,52.6,1384,2.34,19.2,365,5.1,95,8,5,5,6,0,92.2,44,17,2,633,19,3,32.1,10.53,38.6,216,36.5,38,17.6,23,1,445,2.06,4,4.17,60.5
6, Roddy White, Roddy White2012,ATL,2012,999,22.6,21.3,0,2.5,-1.2,648,138,92,66.7,1351,2.08,14.7,335,3.6,59,7,5,4,6,1,100.2,22,10,0,350,10,3,15.9,0,45.5,129,19.9,26,20.2,17,1,182,1.41,1,5.56,65.4
7, Michael Crabtree, Michael Crabtree2012,SF,2012,692,22.5,21.1,0.3,0.4,0.7,431,118,85,72,1105,2.56,13,543,6.4,49,9,2,7,13,0,119.5,8,5,0,170,5,3,6.8,0,62.5,145,33.6,49,33.8,38,4,542,3.74,5,9.52,77.6
8, A.J. Green, A.J. Green2012,CIN,2012,982,21.7,19.2,0.1,2.5,-0.1,583,158,97,61.4,1350,2.32,13.9,448,4.6,73,11,6,10,14,2,96.2,41,12,1,474,13,4,25.9,7.69,29.3,80,13.7,20,25,13,1,236,2.95,1,7.14,65
9, Brandon Marshall, Brandon Marshall2012,CHI,2012,995,21.3,18.3,-0.2,2.4,0.8,547,181,118,65.2,1510,2.76,12.8,369,3.1,56,11,7,13,17,2,95.3,33,11,4,361,15,3,18.2,26.67,33.3,120,21.9,33,27.5,22,2,318,2.65,2,8.33,66.7
10, Percy Harvin, Percy Harvin2012,MIN,2012,427,16.6,17.7,-1.5,-0.6,1,263,81,62,76.5,677,2.57,10.9,542,8.7,45,3,2,1,22,0,102.8,5,1,0,23,1,0,6.2,0,20,157,59.7,35,22.3,26,0,246,1.57,3,0,74.3
11, Randall Cobb, Randall Cobb2012,GB,2012,651,14.3,9.9,2.5,0.1,1.8,423,102,80,78.4,954,2.26,11.9,467,5.8,39,8,3,11,15,0,119.5,16,10,2,276,12,4,15.7,16.67,62.5,357,84.4,81,22.7,63,9,835,2.34,6,12.5,77.8
12, Wes Welker, Wes Welker2012,NE,2012,1089,14.1,9.8,0.6,0.7,3,619,166,118,71.1,1354,2.19,11.5,673,5.7,59,6,2,15,7,2,102.3,19,7,1,244,8,1,11.4,12.5,36.8,509,82.2,125,24.6,88,13,1040,2.04,3,12.87,70.4
13, Sidney Rice, Sidney Rice2012,SEA,2012,797,13.4,10.4,0.1,2,0.9,421,75,50,66.7,748,1.78,15,160,3.2,46,7,1,3,0,0,124.7,16,9,1,255,10,3,21.3,10,56.3,157,37.3,32,20.4,25,1,369,2.35,4,3.85,78.1
14, Julio Jones, Julio Jones2012,ATL,2012,846,13.1,14.9,0.5,-1.6,-0.7,579,127,79,62.2,1198,2.07,15.2,491,6.2,80,10,3,7,12,0,109.6,28,11,1,412,12,5,22,8.33,39.3,53,9.2,14,26.4,8,1,66,1.25,0,11.11,57.1
15, Danny Amendola, Danny Amendola2012,SL,2012,524,13,10.6,0.1,2.1,0.2,326,95,63,66.3,672,2.06,10.7,258,4.1,56,3,2,2,5,2,88.5,11,4,1,138,5,0,11.7,20,36.4,262,80.4,75,28.6,51,1,504,1.92,3,1.92,68
16, Brandon Lloyd, Brandon Lloyd2012,NE,2012,1051,12.9,7,0,3.9,2,596,129,74,57.4,911,1.53,12.3,179,2.4,53,4,1,7,3,0,86.4,32,9,3,257,12,3,24.8,25,28.1,55,9.2,4,7.3,2,0,22,0.4,0,0,50
17, Lance Moore, Lance Moore2012,NO,2012,623,12.9,11.9,0,0.3,0.7,482,100,65,65,1041,2.16,16,147,2.3,51,6,2,7,0,0,111.3,20,12,0,403,12,3,20,0,60,168,34.9,34,20.2,25,2,414,2.46,1,7.41,73.5
18, Mike A. Williams, Mike A. Williams2012,TB,2012,923,12.2,10.6,0,-1,2.6,574,120,63,52.5,996,1.74,15.8,343,5.4,65,9,3,7,7,0,95,35,12,0,450,12,2,29.2,0,34.3,44,7.7,5,11.4,1,2,10,0.23,0,66.67,20
19, Steve L. Smith, Steve L. Smith2012,CAR,2012,928,11.6,12.7,-1.1,2.5,-2.5,527,127,73,57.5,1174,2.23,16.1,282,3.9,66,4,3,8,10,0,89.2,24,12,2,406,14,3,18.9,14.29,50,50,9.5,11,22,7,1,181,3.62,1,12.5,63.6
20, Jason Avant, Jason Avant2012,PHI,2012,670,11.2,7.8,0,2.6,0.8,442,71,53,74.6,648,1.43,12.2,173,3.3,39,0,2,0,3,1,89.8,6,4,0,110,4,0,8.5,0,66.7,392,88.7,67,17.1,51,0,598,1.53,0,0,76.1
21, Hakeem Nicks, Hakeem Nicks2012,NYG,2012,683,11.1,9.3,0,0.9,0.9,398,96,53,55.2,692,1.74,13.1,209,3.9,50,3,3,2,2,0,75.5,18,5,0,166,5,1,18.8,0,27.8,9,2.3,2,22.2,2,0,36,4,1,0,100
22, Malcom Floyd, Malcom Floyd2012,SD,2012,877,10.8,10.3,0,0.1,0.4,526,82,56,68.3,814,1.55,14.5,116,2.1,39,5,4,2,1,0,100.4,19,11,0,310,11,0,23.2,0,57.9,112,21.3,10,8.9,7,0,79,0.71,0,0,70
23, Brandon Stokley, Brandon Stokley2012,DEN,2012,614,10.2,9.1,0,0.4,0.7,381,57,45,78.9,544,1.43,12.1,160,3.6,38,5,2,2,2,0,121.1,8,4,1,119,5,3,14,20,50,358,94,56,15.6,45,2,544,1.52,5,4.26,80.4
24, Golden Tate, Golden Tate2012,SEA,2012,742,9.9,10.5,0.3,-0.1,-0.8,377,65,45,69.2,698,1.81,15.5,286,6.4,51,7,1,2,16,1,133,22,9,0,343,9,3,33.8,0,40.9,52,13.8,11,21.2,7,1,62,1.19,1,12.5,63.6
25, Steve Johnson, Steve Johnson2012,BUF,2012,965,9.8,9.7,0,-0.1,0.2,551,144,79,54.9,1046,1.9,13.2,356,4.5,63,6,7,11,10,1,71.7,17,5,0,179,5,1,11.8,0,29.4,137,24.9,39,28.5,27,0,359,2.62,4,0,69.2
26, Dwayne Bowe, Dwayne Bowe2012,KC,2012,757,8.5,8.1,0,0.2,0.2,400,107,59,55.1,811,2.03,13.7,241,4.1,47,3,5,6,6,1,69.5,22,5,1,157,6,2,20.6,16.67,22.7,16,4,3,18.8,1,0,11,0.69,0,0,33.3
27, Jordy Nelson, Jordy Nelson2012,GB,2012,607,8.4,3.9,0,2.8,1.7,403,71,49,69,745,1.85,15.2,266,5.4,73,7,1,8,4,0,130.3,13,6,1,276,7,3,18.3,14.29,46.2,29,7.2,6,20.7,6,0,130,4.48,1,0,100
28, James Jones, James Jones2012,GB,2012,1023,8.3,6.4,0,1,0.9,613,93,64,68.8,783,1.28,12.2,229,3.6,49,14,2,3,9,0,125.1,16,5,1,158,6,3,17.2,16.67,31.3,41,6.7,7,17.1,6,0,29,0.71,2,0,85.7
29, Domenik Hixon, Domenik Hixon2012,NYG,2012,389,8.2,8.3,0,-0.3,0.2,252,58,39,67.2,567,2.25,14.5,135,3.5,41,2,0,3,3,0,110.3,8,3,1,110,4,0,13.8,25,37.5,12,4.8,2,16.7,1,0,11,0.92,0,0,50
30, Miles Austin, Miles Austin2012,DAL,2012,888,8.2,7.7,0,-1.7,2.2,572,115,66,57.4,943,1.65,14.3,301,4.6,49,6,4,6,6,1,87,19,4,1,119,5,2,16.5,20,21.1,397,69.4,54,13.6,35,4,465,1.17,2,10.26,64.8
31, Mario Manningham, Mario Manningham2012,SF,2012,375,8.1,4.9,1.4,0.6,1.2,249,55,42,76.4,449,1.8,10.7,187,4.5,40,1,1,1,9,2,98.2,7,3,0,84,3,0,12.7,0,42.9,45,18.1,13,28.9,12,0,129,2.87,0,0,92.3
32, DeSean Jackson, DeSean Jackson2012,PHI,2012,722,7.9,7.7,-0.6,0,0.8,446,75,46,61.3,709,1.59,15.4,249,5.4,77,2,3,1,8,1,84.8,24,6,0,231,6,2,32,0,25,77,17.3,12,15.6,9,0,179,2.32,2,0,75
33, Anquan Boldin, Anquan Boldin2012,BLT,2012,905,7.7,12.9,-0.2,0.6,-5.6,528,108,65,60.2,921,1.74,14.2,276,4.2,43,4,3,2,11,0,88.5,16,10,0,286,10,4,14.8,0,62.5,329,62.3,52,15.8,29,1,429,1.3,2,3.33,55.8
34, Doug Baldwin, Doug Baldwin2012,SEA,2012,452,7.7,3.4,0,4.1,0.2,232,46,29,63,366,1.58,12.6,82,2.8,50,3,2,5,1,0,91.4,8,3,0,117,3,1,17.4,0,37.5,169,72.8,36,21.3,21,4,241,1.43,3,16,58.3
35, Pierre Garcon, Pierre Garcon2012,WAS,2012,403,7.7,7.5,-0.2,3.3,-2.9,216,63,44,69.8,633,2.93,14.4,321,7.3,88,4,1,5,4,0,116.7,8,3,1,76,4,0,12.7,25,37.5,32,14.7,14,43.8,10,2,84,2.63,0,16.67,71.4
36, Eric Decker, Eric Decker2012,DEN,2012,1074,7.4,7.1,0,1.3,-1,591,120,85,70.8,1064,1.8,12.5,289,3.4,55,13,3,12,3,0,123.7,23,8,3,257,11,2,19.2,27.27,34.8,120,20.3,25,20.8,23,1,242,2.02,4,4.17,92
37, Brian Hartline, Brian Hartline2012,MIA,2012,914,7.1,8.5,0,-1,-0.4,521,118,74,62.7,1083,2.08,14.6,252,3.4,80,1,3,5,2,1,84.8,25,11,1,421,12,1,21.2,8.33,44,28,5.4,6,21.4,4,1,75,2.68,0,20,66.7
38, Davone Bess, Davone Bess2012,MIA,2012,760,6.8,5.2,0,0.6,1,434,96,61,63.5,778,1.79,12.8,266,4.4,39,1,3,8,14,1,79.3,11,3,0,88,3,0,11.5,0,27.3,303,69.8,70,23.1,43,6,527,1.74,1,12.24,61.4
39, Brandon Gibson, Brandon Gibson2012,SL,2012,794,6.6,9.3,0,0.2,-2.9,475,75,51,68,691,1.45,13.5,111,2.2,34,5,2,5,2,0,108.3,17,8,1,183,9,3,22.7,11.11,47.1,39,8.2,6,15.4,5,0,53,1.36,2,0,83.3
40, Jacoby Jones, Jacoby Jones2012,BLT,2012,440,6.5,3.2,-0.2,2.2,1.3,292,50,30,60,406,1.39,13.5,86,2.9,47,1,1,2,2,0,84.3,16,5,0,159,5,1,32,0,31.3,19,6.5,5,26.3,2,0,48,2.53,0,0,40
41, Victor Cruz, Victor Cruz2012,NYG,2012,918,6,6,0,-0.5,0.5,541,137,86,62.8,1092,2.02,12.7,350,4.1,80,10,6,12,10,0,93.7,20,7,1,323,8,4,14.6,12.5,35,377,69.7,93,24.7,58,8,867,2.3,8,12.12,62.4
42, Antonio Brown, Antonio Brown2012,PIT,2012,668,5.8,8.3,-0.1,-2.1,-0.3,436,98,66,67.3,787,1.81,11.9,363,5.5,60,5,1,4,7,2,104.4,16,3,1,117,4,1,16.3,25,18.8,37,8.5,5,13.5,4,1,17,0.46,0,20,80
43, Joe Morgan, Joe Morgan2012,NO,2012,390,5.4,1.9,0.1,5.3,-1.9,182,19,10,52.6,379,2.08,37.9,86,8.6,80,3,0,2,2,0,137.6,14,8,0,366,8,3,73.7,0,57.1,16,8.8,1,6.3,1,0,44,2.75,0,0,100
44, Rueben Randle, Rueben Randle2012,NYG,2012,250,5.3,3.9,0,0.8,0.6,156,32,19,59.4,298,1.91,15.7,73,3.8,56,3,0,1,3,0,121.6,7,5,0,189,5,2,21.9,0,71.4,9,5.8,1,11.1,0,1,0,0,0,100,0
45, Dez Bryant, Dez Bryant2012,DAL,2012,951,4.9,8.2,0.1,-1.8,-1.6,652,137,92,67.2,1383,2.12,15,468,5.1,85,12,2,11,14,2,123.2,24,12,2,491,14,5,17.5,14.29,50,13,2,3,23.1,2,0,11,0.85,0,0,66.7
46, Torrey Smith, Torrey Smith2012,BLT,2012,947,4.7,7.9,-0.1,0.3,-3.4,531,104,49,47.1,877,1.65,17.9,261,5.3,54,8,2,6,4,0,94.1,44,13,2,425,15,5,42.3,13.33,29.5,41,7.7,11,26.8,8,1,131,3.2,2,11.11,72.7
47, Damaris Johnson, Damaris Johnson2012,PHI,2012,235,4.6,3.9,0.4,-0.2,0.5,161,28,19,67.9,256,1.59,13.5,105,5.5,32,0,0,0,5,0,96.7,1,0,0,0,0,0,3.6,0,0,31,19.3,5,16.1,3,0,54,1.74,0,0,60
48, Marques Colston, Marques Colston2012,NO,2012,854,4.3,6.4,0,-2.4,0.3,627,126,83,65.9,1154,1.84,13.9,300,3.6,60,10,6,8,5,3,101.8,17,7,0,173,7,2,13.5,0,41.2,349,55.7,65,18.6,41,4,563,1.61,5,8.89,63.1
49, Brandon LaFell, Brandon LaFell2012,CAR,2012,775,4.2,-0.8,0.4,4.3,0.3,443,69,44,63.8,677,1.53,15.4,315,7.2,62,4,4,3,3,0,91.3,12,6,1,160,7,1,17.4,14.29,50,290,65.5,41,14.1,26,3,442,1.52,3,10.34,63.4
50, Danario Alexander, Danario Alexander2012,SD,2012,500,4.1,6.6,0,0.2,-2.7,314,54,37,68.5,658,2.1,17.8,301,8.1,80,7,2,3,5,0,134.1,8,3,0,110,3,3,14.8,0,37.5,56,17.8,9,16.1,5,0,125,2.23,2,0,55.6
51, Clyde Gates, Clyde Gates2012,NYJ,2012,240,4,2.3,0.3,0.8,0.6,152,33,16,48.5,224,1.47,14,18,1.1,42,0,2,1,0,0,45.5,3,2,0,69,2,0,9.1,0,66.7,8,5.3,0,0,0,0,0,0,0,0,0
52, Dwayne Harris, Dwayne Harris2012,DAL,2012,264,3.9,0.4,0.5,2.5,0.5,192,27,17,63,222,1.16,13.1,106,6.2,36,1,1,1,5,0,85.7,5,0,0,0,0,0,18.5,0,0,26,13.5,1,3.8,0,0,0,0,0,0,0
53, Randy Moss, Randy Moss2012,SF,2012,416,3.7,3.1,0,0.3,0.3,212,47,28,59.6,434,2.05,15.5,82,2.9,55,3,3,3,3,1,84.9,9,3,0,104,3,1,19.1,0,33.3,33,15.6,4,12.1,2,0,39,1.18,1,0,50
54, Greg Jennings, Greg Jennings2012,GB,2012,435,3.4,3.3,0,-0.1,0.2,287,58,36,62.1,366,1.28,10.2,173,4.8,45,4,2,2,9,0,88.7,8,1,1,27,2,0,13.8,50,12.5,147,51.2,33,22.4,21,2,202,1.37,3,8.7,63.6
55, Josh Gordon, Josh Gordon2012,CLV,2012,840,3.4,1.3,0,1.7,0.4,506,89,50,56.2,805,1.58,16.1,315,6.3,71,5,3,4,6,1,90.9,23,6,2,259,8,4,25.8,25,26.1,60,11.9,16,26.7,12,0,271,4.52,2,0,75
56, Andrew Hawkins, Andrew Hawkins2012,CIN,2012,535,3.2,0.2,1.2,1.2,0.6,385,74,51,68.9,533,1.38,10.5,350,6.9,59,4,3,3,7,1,90.7,6,1,1,24,2,0,8.1,50,16.7,332,86.2,64,19.3,42,3,449,1.35,4,6.67,65.6
57, Chris Givens, Chris Givens2012,SL,2012,641,3.2,1.2,-0.1,0.5,1.6,368,77,42,54.5,698,1.9,16.6,286,6.8,65,3,1,5,4,0,92.9,24,8,2,318,10,3,31.2,20,33.3,56,15.2,10,17.9,6,0,36,0.64,0,0,60
58, Devin Aromashodu, Devin Aromashodu2012,MIN,2012,344,3,-0.9,0,3,0.9,215,21,11,52.4,182,0.85,16.5,37,3.4,31,0,1,0,2,0,62,5,1,0,26,1,0,23.8,0,20,12,5.6,2,16.7,0,0,0,0,0,0,0
59, Austin Pettis, Austin Pettis2012,SL,2012,390,2.9,1.8,0,0.6,0.5,271,46,30,65.2,261,0.96,8.7,88,2.9,36,4,2,1,2,0,90.9,7,2,0,59,2,0,15.2,0,28.6,161,59.4,34,21.1,25,1,228,1.42,2,3.85,73.5
60, Kealoha Pilares, Kealoha Pilares2012,CAR,2012,33,2.5,0.2,0.8,1.5,0,18,3,2,66.7,42,2.33,21,50,25,36,1,0,0,2,0,149.3,0,0,0,0,0,0,0,0,0,13,72.2,1,7.7,1,0,6,0.46,0,0,100
61, Ryan Broyles, Ryan Broyles2012,DET,2012,284,2.5,3.5,0,-0.7,-0.3,190,30,22,73.3,310,1.63,14.1,158,7.2,40,2,1,2,1,0,114.6,4,2,0,63,2,0,13.3,0,50,122,64.2,22,18,17,2,242,1.98,0,10.53,77.3
62, Darrius Heyward-Bey, Darrius Heyward-Bey2012,OAK,2012,826,2.4,-1.7,0.6,1.2,2.3,510,77,41,53.2,606,1.19,14.8,237,5.8,59,5,2,6,10,0,90.1,20,4,2,181,6,1,26,33.33,20,120,23.5,16,13.3,7,1,43,0.36,1,12.5,43.8
63, Cecil Shorts, Cecil Shorts2012,JAX,2012,664,2.2,5.9,0.3,-2.9,-1.1,426,101,55,54.5,979,2.3,17.8,465,8.5,80,7,4,9,4,1,94.5,18,7,2,246,9,3,17.8,22.22,38.9,20,4.7,3,15,1,1,2,0.1,0,50,33.3
64, Emmanuel Sanders, Emmanuel Sanders2012,PIT,2012,740,2.2,1.1,-0.2,0.6,0.7,422,69,44,63.8,624,1.48,14.2,223,5.1,37,1,3,3,5,2,79.6,15,6,1,161,7,0,21.7,14.29,40,282,66.8,48,17,30,2,361,1.28,0,6.25,62.5
65, Mohamed Sanu, Mohamed Sanu2012,CIN,2012,209,2.2,2.1,0.4,-0.8,0.5,112,25,17,68,159,1.42,9.4,73,4.3,34,4,0,0,2,1,124.8,1,0,0,0,0,0,4,0,0,72,64.3,15,20.8,13,0,129,1.79,3,0,86.7
66, Larry Fitzgerald, Larry Fitzgerald2012,ARZ,2012,1056,2,0.5,0,0.5,1,676,148,71,48,798,1.18,11.2,277,3.9,37,4,12,5,9,0,39.8,26,2,0,61,2,1,17.6,0,7.7,126,18.6,25,19.8,23,0,201,1.6,0,0,92
67, Donald Jones, Donald Jones2012,BUF,2012,684,1.9,-2.3,0,2.4,1.8,402,62,41,66.1,443,1.1,10.8,182,4.4,68,4,3,6,3,1,88.3,8,0,1,0,1,0,12.9,100,0,286,71.1,34,11.9,21,4,245,0.86,1,16,61.8
68, Leonard Hankerson, Leonard Hankerson2012,WAS,2012,589,1.8,2.2,0.1,0,-0.5,291,55,38,69.1,543,1.87,14.3,159,4.2,68,3,0,3,8,0,119,9,4,0,170,4,2,16.4,0,44.4,46,15.8,13,28.3,7,1,42,0.91,1,12.5,53.8
69, Ryan Whalen, Ryan Whalen2012,CIN,2012,97,1.8,1.3,0,0.4,0.1,55,12,7,58.3,53,0.96,7.6,13,1.9,10,0,2,0,1,0,29.5,2,0,0,0,0,0,16.7,0,0,30,54.5,4,13.3,3,0,21,0.7,0,0,75
70, Aldrick Robinson, Aldrick Robinson2012,WAS,2012,225,1.7,1.8,0.3,1.2,-1.6,100,18,11,61.1,237,2.37,21.5,61,5.5,68,3,0,3,1,0,144.7,6,2,1,117,3,2,33.3,33.33,33.3,11,11,2,18.2,1,1,5,0.45,0,50,50
71, Braylon Edwards, Braylon Edwards2012,NYJ,2012,147,1.7,1,0,1.3,-0.6,99,18,10,55.6,125,1.26,12.5,31,3.1,19,0,1,1,0,0,57.8,3,0,0,0,0,0,16.7,0,0,10,10.1,2,20,1,0,6,0.6,0,0,50
72, Jeremy Kerley, Jeremy Kerley2012,NYJ,2012,678,1.5,0.8,-1,-0.3,2,438,88,56,63.6,827,1.89,14.8,305,5.4,66,2,4,4,7,2,82.9,15,10,0,326,10,0,17,0,66.7,311,71,67,21.5,43,2,612,1.97,2,4.44,64.2
73, Joshua Cribbs, Joshua Cribbs2012,CLV,2012,63,1.5,-0.9,0.9,1.5,0,39,10,7,70,63,1.62,9,43,6.1,24,0,1,1,0,0,47.1,0,0,0,0,0,0,0,0,0,1,2.6,1,100,0,0,0,0,0,0,0
74, Matt Willis, Matt Willis2012,DEN,2012,200,1.5,-0.2,0,1.3,0.4,97,19,10,52.6,90,0.93,9,27,2.7,19,0,3,0,0,0,26.1,1,0,0,0,0,0,5.3,0,0,47,48.5,10,21.3,6,0,42,0.89,0,0,60
75, Santana Moss, Santana Moss2012,WAS,2012,464,1.5,1.4,-0.1,-0.2,0.4,324,60,41,68.3,573,1.77,14,249,6.1,77,8,1,6,5,2,131.5,7,5,1,221,6,4,11.7,16.67,71.4,266,82.1,47,17.7,32,5,487,1.83,7,13.51,68.1
76, Mohamed Massaquoi, Mohamed Massaquoi2012,CLV,2012,261,1.4,0.7,0,-0.2,0.9,166,32,17,53.1,254,1.53,14.9,107,6.3,54,0,1,1,0,0,66.4,6,0,0,0,0,0,18.8,0,0,91,54.8,18,19.8,10,1,97,1.07,0,9.09,55.6
77, Seyi Ajirotutu, Seyi Ajirotutu2012,SD,2012,75,1.3,0.1,0,0.9,0.3,55,3,3,100,45,0.82,15,3,1,28,0,0,0,0,0,118.8,1,1,0,28,1,0,33.3,0,100,40,72.7,3,7.5,3,0,45,1.13,0,0,100
78, Derek Hagan, Derek Hagan2012,OAK,2012,257,1.2,0.6,0,0.9,-0.3,167,34,20,58.8,259,1.55,13,76,3.8,38,0,1,1,1,0,70.6,7,1,1,38,2,0,20.6,50,14.3,22,13.2,4,18.2,2,0,26,1.18,0,0,50
79, Donte' Stallworth, Donte' Stallworth2012,NE,2012,20,1.2,1.1,0,0,0.1,11,2,1,50,63,5.73,63,32,32,63,1,0,0,0,0,135.4,2,1,0,63,1,1,100,0,50,2,18.2,1,50,1,0,63,31.5,1,0,100
80, Jarius Wright, Jarius Wright2012,MIN,2012,208,1.2,-0.5,0.6,0.4,0.7,132,36,22,61.1,310,2.35,14.1,122,5.5,65,2,1,4,3,0,95.8,6,2,0,119,2,0,16.7,0,33.3,93,70.5,20,21.5,12,2,169,1.82,1,14.29,60
81, Terrance Copper, Terrance Copper2012,KC,2012,158,1.2,-0.3,-0.2,1.4,0.3,70,12,8,66.7,79,1.13,9.9,19,2.4,17,0,0,0,0,0,85.1,2,0,0,0,0,0,16.7,0,0,7,10,1,14.3,1,0,11,1.57,0,0,100
82, Juron Criner, Juron Criner2012,OAK,2012,169,1.1,0.4,0,0.5,0.2,123,29,16,55.2,151,1.23,9.4,79,4.9,17,1,1,1,2,1,66.9,2,0,1,0,1,0,6.9,100,0,30,24.4,8,26.7,6,0,50,1.67,1,0,75
83, Earl Bennett, Earl Bennett2012,CHI,2012,426,1,-0.3,0,0.1,1.2,275,47,29,61.7,375,1.36,12.9,210,7.2,60,2,4,1,6,0,65.5,3,1,1,28,2,0,6.4,50,33.3,185,67.3,30,16.2,17,1,254,1.37,1,5.56,56.7
84, Jordan Norwood, Jordan Norwood2012,CLV,2012,77,0.9,1.9,-0.2,0,-0.8,59,18,13,72.2,137,2.32,10.5,69,5.3,27,0,0,1,1,0,94,2,0,0,0,0,0,11.1,0,0,47,79.7,12,25.5,8,1,92,1.96,0,11.11,66.7
85, Brad Smith, Brad Smith2012,BUF,2012,325,0.8,-1.3,0.7,0.6,0.8,181,20,14,70,152,0.84,10.9,53,3.8,35,2,0,0,1,0,125.4,3,1,0,35,1,1,15,0,33.3,123,68,11,8.9,8,0,112,0.91,1,0,72.7
86, Eric Weems, Eric Weems2012,CHI,2012,131,0.8,-0.8,0,1.3,0.3,51,3,2,66.7,27,0.53,13.5,3,1.5,18,0,0,0,0,0,95.1,0,0,0,0,0,0,0,0,0,10,19.6,0,0,0,0,0,0,0,0,0
87, Josh Cooper, Josh Cooper2012,CLV,2012,91,0.8,0.6,0,0,0.2,60,16,8,50,106,1.7,13.3,51,6.4,28,0,0,1,0,0,70.3,1,1,0,28,1,0,6.3,0,100,55,91.7,14,25.5,6,1,88,1.6,0,14.29,42.9
88, Micheal Spurlock, Micheal Spurlock2012,SD,2012,116,0.8,0.5,0,-0.1,0.4,78,10,9,90,79,1.55,8.8,45,5,13,0,0,1,0,0,107.6,0,0,0,0,0,0,0,0,0,46,62.2,6,13,5,1,51,1.11,0,16.67,83.3
89, Chris Owusu, Chris Owusu2012,TB,2012,25,0.7,0.2,0,0.5,0,10,3,1,33.3,24,2.4,24,11,11,24,0,0,0,1,0,63.2,1,0,0,0,0,0,33.3,0,0,1,10,0,0,0,0,0,0,0,0,0
90, Plaxico Burress, Plaxico Burress2012,PIT,2012,34,0.7,0.7,0,0,0,22,7,3,42.9,42,1.91,14,5,1.7,18,1,1,0,0,0,62.8,1,0,0,0,0,0,14.3,0,0,1,4.5,0,0,0,0,0,0,0,0,0
91, Deonte Thompson, Deonte Thompson2012,BLT,2012,89,0.6,0.1,0,0.3,0.2,37,6,5,83.3,51,1.38,10.2,24,4.8,25,0,0,0,1,0,102.1,0,0,0,0,0,0,0,0,0,29,78.4,4,13.8,4,0,26,0.9,0,0,100
92, Eddie Royal, Eddie Royal2012,SD,2012,284,0.6,-0.3,0.3,-0.2,0.8,189,42,23,54.8,234,1.24,10.2,105,4.6,31,1,3,2,4,0,49.1,6,2,0,51,2,0,14.3,0,33.3,118,62.4,22,18.6,13,1,154,1.31,1,7.14,59.1
93, Mike Preston, Mike Preston2012,TEN,2012,61,0.6,0.6,0,-0.1,0.1,29,7,5,71.4,59,2.03,11.8,9,1.8,21,0,0,0,0,0,96.7,2,0,0,0,0,0,28.6,0,0,5,17.2,2,40,1,0,7,1.4,0,0,50
94, David Nelson, David Nelson2012,BUF,2012,30,0.5,0.4,0,0,0.1,18,5,2,40,31,1.72,15.5,11,5.5,21,0,2,0,1,0,21.7,0,0,0,0,0,0,0,0,0,16,88.9,5,31.3,2,0,31,1.94,0,0,40
95, Josh Morgan, Josh Morgan2012,WAS,2012,727,0.5,-1.2,1.4,2.4,-2.1,382,69,48,69.6,510,1.34,10.6,241,5,32,2,3,7,10,1,82.4,5,0,0,0,0,0,7.2,0,0,53,13.8,13,24.5,11,0,94,1.77,1,0,84.6
96, Rod Streater, Rod Streater2012,OAK,2012,594,0.5,-0.4,0,0.8,0.1,380,71,39,54.9,584,1.54,15,148,3.8,64,3,2,7,2,1,84.5,13,5,1,208,6,2,18.3,16.67,38.5,114,30,12,10.5,9,1,157,1.38,1,10,75
97, Greg Camarillo, Greg Camarillo2012,NO,2012,46,0.4,0.3,0,0,0.1,35,5,4,80,44,1.26,11,9,2.3,13,0,0,0,0,0,103.3,0,0,0,0,0,0,0,0,0,9,25.7,2,22.2,2,0,20,2.22,0,0,100
