Row,Name,NameYear,Team,Year,Snaps,Overall Grade,Pass Grade,Run Grade,Blocking Grade,Penalty Grade,Routes Run,Targets,Receptions,Catch%,Yards,Yards/Route,Yards / Reception,Yards After Catch,Yards After Catch / Reception,Long,Touchdowns,Interceptions,Dropped Passes,Missed Tackles Forced,Fumbles,WR Rating,Deep Targets,Deep Receptions,Deep Drops,Deep Yards,Deep Catchable,Deep TDs,Deep Target %,Deep Drop Rate,Deep Catch Rate,Slot Routes,Slot %,Slot Targets,Slot Target %,Slot Receptions,Slot Drops,Slot Yards,Slot YPRR,Slot TDs,Slot Drop Rate,Slot Catch Rate
868, Dominique Zeigler, Dominique Zeigler2008,SF,2008,49,0,0,0,0,0,39,8,5,62.5,97,2.49,19.4,46,9.2,31,0,0,1,1,0,104.7,3,1,0,30,1,0,37.5,0,33.3,7,17.9,1,14.3,1,0,22,3.14,0,0,100
869, Mark Bradley, Mark Bradley2008,CHI,2008,1,0,0,0,0,0,331,1,0,0,0,1.15,0,0,0,0,0,0,0,0,0,81.2,16,6,0,210,6,3,27.1,0,37.5,30,9,0,0,0,0,0,0,0,0,0
870, Brian Finneran, Brian Finneran2008,ATL,2008,219,-0.1,-2.2,0,1.5,0.6,135,32,20,62.5,163,1.21,8.2,47,2.4,14,1,0,4,1,1,85.8,2,0,0,0,0,0,6.3,0,0,36,26.7,7,19.4,6,1,51,1.42,0,14.29,85.7
871, Craig Davis, Craig Davis2008,SD,2008,43,-0.1,-0.2,0,0,0.1,37,7,4,57.1,59,1.59,14.8,40,10,20,0,1,1,0,0,45.2,0,0,0,0,0,0,0,0,0,22,59.5,6,27.3,3,1,39,1.77,0,25,50
872, Drew Bennett, Drew Bennett2008,SL,2008,3,-0.1,-0.1,0,0,0,3,1,1,100,4,1.33,4,0,0,4,0,0,0,0,0,83.3,0,0,0,0,0,0,0,0,0,2,66.7,1,50,1,0,4,2,0,0,100
873, Eric Weems, Eric Weems2008,ATL,2008,21,-0.1,-0.1,-0.5,0.5,0,4,1,1,100,4,1,4,7,7,4,0,0,0,0,0,83.3,0,0,0,0,0,0,0,0,0,3,75,0,0,0,0,0,0,0,0,0
874, Pierre Garcon, Pierre Garcon2008,IND,2008,48,-0.1,-0.2,0,0,0.1,36,4,4,100,23,0.64,5.8,11,2.8,12,0,0,0,0,0,90.6,0,0,0,0,0,0,0,0,0,3,8.3,0,0,0,0,0,0,0,0,0
875, Brandon Jones, Brandon Jones2008,TEN,2008,643,-0.2,-0.2,0.6,1.9,-2.5,333,60,41,68.3,449,1.35,11,132,3.2,40,1,1,2,3,0,88.8,8,3,0,91,3,0,13.3,0,37.5,175,52.6,32,18.3,23,0,246,1.41,0,0,71.9
876, Dwayne Jarrett, Dwayne Jarrett2008,CAR,2008,186,-0.2,-1.7,0,1,0.5,136,16,10,62.5,119,0.88,11.9,32,3.2,25,0,0,2,0,0,85.2,0,0,0,0,0,0,0,0,0,48,35.3,4,8.3,2,1,15,0.31,0,33.33,50
877, Earl Bennett, Earl Bennett2008,CHI,2008,15,-0.2,-0.2,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,39.6,0,0,0,0,0,0,0,0,0,8,80,1,12.5,0,0,0,0,0,0,0
878, Harry Douglas, Harry Douglas2008,ATL,2008,483,-0.2,-5,0.9,2.5,1.4,294,39,23,59,320,1.09,13.9,119,5.2,69,1,2,4,1,0,72.6,7,3,0,96,3,0,17.9,0,42.9,241,82,30,12.4,18,3,271,1.12,1,14.29,60
879, Terrance Copper, Terrance Copper2008,BLT,2008,11,-0.2,-0.2,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,39.6,0,0,0,0,0,0,0,0,0,3,50,0,0,0,0,0,0,0,0,0
880, Joshua Cribbs, Joshua Cribbs2008,CLV,2008,147,-0.3,-2.3,1.4,1.5,-0.9,60,7,2,28.6,18,0.3,9,13,6.5,17,1,1,1,0,0,39.6,2,0,0,0,0,0,28.6,0,0,20,33.3,3,15,2,0,18,0.9,1,0,66.7
881, Sam Aiken, Sam Aiken2008,NE,2008,141,-0.3,-1.9,0,1.4,0.2,86,11,8,72.7,101,1.2,12.6,82,10.3,43,0,0,1,0,0,103.3,1,0,0,0,0,0,10,0,0,15,17.4,1,6.7,1,0,7,0.47,0,0,100
882, D.J. Hackett, D.J. Hackett2008,CAR,2008,195,-0.4,-0.1,0,0.3,-0.6,112,26,13,50,181,1.62,13.9,81,6.2,37,0,0,0,1,1,72.8,3,1,0,22,1,0,11.5,0,33.3,28,25,12,42.9,6,0,95,3.39,0,0,50
883, Paul Williams, Paul Williams2008,TEN,2008,21,-0.4,-0.4,0,0,0,14,3,1,33.3,7,0.5,7,0,0,7,0,0,0,0,0,58.3,1,0,0,0,0,0,50,0,0,2,14.3,0,0,0,0,0,0,0,0,0
884, Yamon Figurs, Yamon Figurs2008,BLT,2008,121,-0.4,-1.1,0,0.4,0.3,72,5,1,20,43,0.6,43,2,2,43,1,1,0,0,0,62.9,4,1,0,43,1,1,80,0,25,20,27.8,2,10,0,0,0,0,0,0,0
885, Brad Smith, Brad Smith2008,NYJ,2008,256,-0.5,-3.5,2.6,0.8,-0.4,130,19,12,63.2,71,0.55,5.9,61,5.1,18,0,0,0,3,0,70.3,0,0,0,0,0,0,0,0,0,51,39.2,7,13.7,4,0,22,0.43,0,0,57.1
886, Bobby Wade, Bobby Wade2008,MIN,2008,868,-0.6,-3.3,0,4.8,-2.1,430,86,53,61.6,646,1.5,12.2,256,4.8,59,2,1,7,6,2,87.6,5,3,0,115,3,1,5.8,0,60,289,67.2,54,18.7,36,3,423,1.46,1,7.69,66.7
887, Cliff Russell, Cliff Russell2008,DEN,2008,5,-0.6,-0.6,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,39.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
