#,Name,NameYear,Year,Team,Snaps,Overall,Pass,Pass Block,Run Block,Penalty,# of Pen,TA,Rec.,% Ct,Yds,Yds / Rec.,YAC,YAC / Rec.,LG,TD,In,DP,MT,Fu
75,Orson Charles,Orson Charles2012,2012,CIN,297,-1.2,0.5,1.4,-2.6,-0.5,Feb-00,9,8,88.9,101,12.6,48,6,25,0,0,0,0,0
76,Dustin Keller,Dustin Keller2012,2012,NYJ,416,-1.3,3.4,0.3,-4.9,-0.1,Feb-00,36,28,77.8,317,11.3,94,3.4,32,2,2,2,5,0
77,Brad Smelley,Brad Smelley2012,2012,CLV,26,-1.4,-0.2,0.2,-1.5,0.1,0-0,1,1,100,3,3,0,0,3,0,0,0,0,0
78,Dante Rosario,Dante Rosario2012,2012,SD,193,-1.5,-2.3,0.4,0.6,-0.2,Jan-00,17,10,58.8,95,9.5,36,3.6,18,3,1,1,0,1
79,Antonio Gates,Antonio Gates2012,2012,SD,890,-1.8,1.6,0.1,-4.7,1.2,Mar-00,76,49,64.5,538,11,148,3,34,7,3,5,3,0
80,Evan Moore,Evan Moore2012,2012,PHI,6,-2.1,-1.1,0,0,-1,Jan-00,2,0,0,0,0,0,0,0,0,0,1,0,0
81,Randy McMichael,Randy McMichael2012,2012,SD,504,-2.2,-4,1.7,1.6,-1.5,Apr-00,11,9,81.8,51,5.7,58,6.4,13,0,0,1,1,1
82,Clay Harbor,Clay Harbor2012,2012,PHI,354,-2.4,-2,-1.7,0.7,0.6,Jan-00,38,25,65.8,186,7.4,80,3.2,19,2,2,3,3,1
83,Logan Paulsen,Logan Paulsen2012,2012,WAS,696,-2.6,-1.4,-4.7,6,-2.5,Jun-00,35,25,71.4,308,12.3,115,4.6,31,1,1,3,0,0
84,Niles Paul,Niles Paul2012,2012,WAS,232,-3,0.1,-0.4,0,-2.7,Apr-00,15,8,53.3,152,19,67,8.4,37,1,0,2,0,0
85,Lee Smith,Lee Smith2012,2012,BUF,294,-3.1,0.9,1.7,-1.5,-4.2,Jun-00,4,4,100,13,3.3,4,1,5,2,0,0,0,0
86,Jermichael Finley,Jermichael Finley2012,2012,GB,711,-4,-0.5,0.3,-3.4,-0.4,Apr-00,85,61,71.8,667,10.9,298,4.9,40,2,0,9,7,1
87,Dave Thomas,Dave Thomas2012,2012,NO,389,-4,-1.3,0.2,0.1,-3,Jun-00,16,11,68.8,86,7.8,42,3.8,20,4,1,1,0,0
88,Tony Moeaki,Tony Moeaki2012,2012,KC,935,-4,-0.6,2,-5.8,0.4,May-00,49,33,67.3,453,13.7,134,4.1,38,1,4,4,3,0
89,Evan Moore,Evan Moore2012,2012,SEA,104,-4.6,-3.2,0.3,0,-1.7,Mar-00,6,1,16.7,6,6,8,8,6,0,0,1,0,0
90,Dedrick Epps,Dedrick Epps2012,2012,NYJ,34,-4.7,-1.1,-0.8,-2.9,0.1,0-0,1,1,100,9,9,1,1,9,0,0,0,0,1
91,Billy Bajema,Billy Bajema2012,2012,BLT,133,-5,-0.7,0.7,-3.6,-1.4,Feb-00,1,0,0,0,0,0,0,0,0,0,0,0,0
92,Zach Potter,Zach Potter2012,2012,JAX,199,-5.2,-2.1,1.7,-3.8,-1,Feb-00,6,2,33.3,6,3,4,2,4,0,0,1,1,0
93,Kyle Adams,Kyle Adams2012,2012,CHI,154,-5.4,-4.2,0.2,-1,-0.4,Jan-00,7,4,57.1,40,10,8,2,17,0,0,2,0,0
94,Bear Pascoe,Bear Pascoe2012,2012,NYG,245,-5.6,-2.4,-1.2,-3.1,1.1,0-0,6,4,66.7,35,8.8,20,5,16,1,0,2,1,0
95,Aaron Hernandez,Aaron Hernandez2012,2012,NE,573,-5.6,0.6,0.8,-3.8,-3.2,Jun-00,80,51,63.8,483,9.5,227,4.5,31,5,2,10,9,0
96,Tom Crabtree,Tom Crabtree2012,2012,GB,366,-6.1,1.3,1,-7.2,-1.2,Mar-00,10,8,80,203,25.4,195,24.4,72,3,0,1,2,0
97,David Paulson,David Paulson2012,2012,PIT,316,-6.4,-3.5,-1.6,-2.8,1.5,0-0,8,7,87.5,51,7.3,26,3.7,9,0,0,0,2,1
98,Anthony McCoy,Anthony McCoy2012,2012,SEA,480,-6.5,3.6,-0.8,-6.4,-2.9,1-Jun,23,18,78.3,291,16.2,142,7.9,67,3,3,1,2,0
99,Jordan Cameron,Jordan Cameron2012,2012,CLV,338,-6.5,0.1,0.2,-6.2,-0.6,1-Mar,31,20,64.5,226,11.3,102,5.1,28,1,1,2,1,0
100,Ed Dickson,Ed Dickson2012,2012,BLT,553,-6.9,-0.6,-0.1,-8.9,2.7,0-0,31,21,67.7,225,10.7,87,4.1,40,0,1,1,3,0
101,Konrad Reuland,Konrad Reuland2012,2012,NYJ,389,-7.6,-0.7,1.1,-6.9,-1.1,Mar-00,16,11,68.8,83,7.5,56,5.1,18,0,0,1,0,0
102,Brandon Pettigrew,Brandon Pettigrew2012,2012,DET,788,-8.4,-10,1.6,-1.6,1.6,Feb-00,95,59,62.1,567,9.6,250,4.2,24,3,2,9,2,4
103,Kellen Davis,Kellen Davis2012,2012,CHI,980,-8.8,-10.9,1.2,0.1,0.8,Apr-00,44,19,43.2,229,12.1,70,3.7,25,2,1,8,3,1
